"Date";"Num?ro de Carte";"Description";"Cat?gorie";"Debit";"Credit"
"2027-12-14";"************4382";"Harbor Green Grocers";"Groceries";"132.00";"0"
"2027-12-13";"************4382";"Wellington Coffee Room";"Dining";"7.17";"0"
"2027-12-13";"************4382";"GreenLeaf Supplements";"Health";"12.58";"0"
"2027-12-13";"************4382";"GardenCare Subscription";"Housing";"1094.43";"0"
"2027-12-13";"************4382";"Foreign Exchange Fee";"Fees";"57.49";"0"
"2027-12-12";"************4382";"Wellington Coffee Room";"Dining";"59.01";"0"
"2027-12-12";"************4382";"Monthly Account Fee";"Fees";"30.96";"0"
"2027-12-11";"************4382";"NorthLine Bus Card";"Transport";"56.27";"0"
"2027-12-11";"************4382";"City Cab Network";"Transport";"25.95";"0"
"2027-12-10";"************4382";"PostalPro Shipping";"Business";"60.15";"0"
"2027-12-10";"************4382";"Milford Sound Tours";"Travel";"111.74";"0"
"2027-12-10";"************4382";"DataCraft Workshop";"Education";"316.03";"0"
"2027-12-09";"************4382";"Auckland Metro Pass";"Transport";"43.15";"0"
"2027-12-09";"************4382";"Aotearoa Lodge Booking";"Travel";"179.55";"0"
"2027-12-08";"************4382";"GreenRide Shuttle";"Transport";"53.56";"0"
"2027-12-08";"************4382";"Auckland Metro Pass";"Transport";"88.53";"0"
"2027-12-07";"************4382";"Monthly Account Fee";"Fees";"7.65";"0"
"2027-12-07";"************4382";"MetroLink Transit";"Transport";"39.98";"0"
"2027-12-06";"************4382";"Rent Payment Willow Street";"Housing";"988.61";"0"
"2027-12-06";"************4382";"Payroll Card Payment";"Payments";"0";"546.70"
"2027-12-04";"************4382";"Invoice Client Deposit";"Business";"177.70";"0"
"2027-12-04";"************4382";"Harbor Noodle House";"Dining";"7.24";"0"
"2027-12-03";"************4382";"Nelson Curry Kitchen";"Dining";"61.17";"0"
"2027-12-02";"************4382";"Wellington Ferry Terminal";"Travel";"89.26";"0"
"2027-12-02";"************4382";"Sunset Pizza Works";"Dining";"123.19";"0"
"2027-12-02";"************4382";"SkillBridge Academy";"Education";"297.16";"0"
"2027-12-02";"************4382";"City Cab Network";"Transport";"44.69";"0"
"2027-12-01";"************4382";"Canterbury Family Foods";"Groceries";"88.39";"0"
"2027-11-28";"************4382";"NorthLine Bus Card";"Transport";"63.97";"0"
"2027-11-28";"************4382";"City Cab Network";"Transport";"67.48";"0"
"2027-11-27";"************4382";"NorthLine Bus Card";"Transport";"63.80";"0"
"2027-11-27";"************4382";"Civic Library Membership";"Education";"305.52";"0"
"2027-11-26";"************4382";"SkillBridge Academy";"Education";"386.68";"0"
"2027-11-26";"************4382";"Rotorua Organic Store";"Groceries";"50.19";"0"
"2027-11-26";"************4382";"Queenstown Path Pass";"Travel";"613.54";"0"
"2027-11-26";"************4382";"Kiwi Basket Foods";"Groceries";"95.84";"0"
"2027-11-26";"************4382";"Bank Transfer Payment";"Payments";"0";"907.97"
"2027-11-25";"************4382";"Wellness Pharmacy";"Health";"251.20";"0"
"2027-11-25";"************4382";"Wellington Coffee Room";"Dining";"124.28";"0"
"2027-11-25";"************4382";"Sunset Pizza Works";"Dining";"101.55";"0"
"2027-11-25";"************4382";"Queenstown Burger Loft";"Dining";"52.61";"0"
"2027-11-25";"************4382";"Harbor Green Grocers";"Groceries";"105.09";"0"
"2027-11-24";"************4382";"GameCorner Store";"Entertainment";"27.26";"0"
"2027-11-23";"************4382";"Wellness Pharmacy";"Health";"32.32";"0"
"2027-11-23";"************4382";"Store Return Credit";"Refunds";"0";"89.70"
"2027-11-23";"************4382";"HealthFirst Appointment";"Health";"225.34";"0"
"2027-11-22";"************4382";"Travel Booking Refund";"Refunds";"0";"218.34"
"2027-11-22";"************4382";"Auckland Fresh Market";"Groceries";"123.83";"0"
"2027-11-21";"************4382";"Credit Card Payment Thank You";"Payments";"0";"961.24"
"2027-11-21";"************4382";"ActiveLife Physiotherapy";"Health";"332.32";"0"
"2027-11-20";"************4382";"Store Return Credit";"Refunds";"0";"269.05"
"2027-11-20";"************4382";"NorthLine Bus Card";"Transport";"51.51";"0"
"2027-11-19";"************4382";"Civic Library Membership";"Education";"32.69";"0"
"2027-11-19";"************4382";"Auckland Airport Shuttle";"Travel";"371.95";"0"
"2027-11-18";"************4382";"Civic Library Membership";"Education";"302.70";"0"
"2027-11-18";"************4382";"Auckland Waste Service";"Utilities";"25.37";"0"
"2027-11-17";"************4382";"Riverfront Music Hall";"Entertainment";"179.02";"0"
"2027-11-17";"************4382";"New Zealand Scenic Coach";"Travel";"227.20";"0"
"2027-11-16";"************4382";"Sunset Pizza Works";"Dining";"68.80";"0"
"2027-11-16";"************4382";"Maple Table Bistro";"Dining";"126.87";"0"
"2027-11-16";"************4382";"Aotearoa Lodge Booking";"Travel";"251.94";"0"
"2027-11-15";"************4382";"Sunset Pizza Works";"Dining";"81.98";"0"
"2027-11-15";"************4382";"MetroLink Transit";"Transport";"84.53";"0"
"2027-11-15";"************4382";"GreenLeaf Supplements";"Health";"255.63";"0"
"2027-11-14";"************4382";"Wellington Pantry Co";"Groceries";"168.18";"0"
"2027-11-14";"************4382";"StorageBox Monthly";"Housing";"1395.40";"0"
"2027-11-14";"************4382";"SkillBridge Academy";"Education";"320.76";"0"
"2027-11-14";"************4382";"Rotorua Organic Store";"Groceries";"32.13";"0"
"2027-11-14";"************4382";"Pacific Coast Hostel";"Travel";"597.46";"0"
"2027-11-14";"************4382";"HealthFirst Appointment";"Health";"233.13";"0"
"2027-11-14";"************4382";"GameCorner Store";"Entertainment";"23.73";"0"
"2027-11-12";"************4382";"Riverfront Music Hall";"Entertainment";"99.84";"0"
"2027-11-12";"************4382";"Riverfront Music Hall";"Entertainment";"63.52";"0"
"2027-11-12";"************4382";"Queenstown Path Pass";"Travel";"709.98";"0"
"2027-11-12";"************4382";"North Shore Supermart";"Groceries";"104.78";"0"
"2027-11-12";"************4382";"Late Payment Fee";"Fees";"84.62";"0"
"2027-11-10";"************4382";"Invoice Client Deposit";"Business";"93.23";"0"
"2027-11-10";"************4382";"Harbor Noodle House";"Dining";"45.77";"0"
"2027-11-10";"************4382";"Canterbury Family Foods";"Groceries";"124.12";"0"
"2027-11-10";"************4382";"Brooklyn Sandwich Bar";"Dining";"60.22";"0"
"2027-11-09";"************4382";"SecureNest Insurance";"Housing";"179.83";"0"
"2027-11-09";"************4382";"Rent Payment Willow Street";"Housing";"267.60";"0"
"2027-11-09";"************4382";"Harbor Ferry Ticket";"Transport";"26.88";"0"
"2027-11-08";"************4382";"Rent Payment Willow Street";"Housing";"850.90";"0"
"2027-11-08";"************4382";"Milford Sound Tours";"Travel";"377.10";"0"
"2027-11-07";"************4382";"HomeCare Upkeep";"Housing";"883.54";"0"
"2027-11-07";"************4382";"CloudDesk Storage";"Business";"64.70";"0"
"2027-11-07";"************4382";"ClearNet Fibre";"Utilities";"49.54";"0"
"2027-11-07";"************4382";"City Cab Network";"Transport";"83.14";"0"
"2027-11-06";"************4382";"Queenstown Path Pass";"Travel";"292.78";"0"
"2027-11-05";"************4382";"Building Manager Fee";"Housing";"671.11";"0"
"2027-11-05";"************4382";"Brooklyn Sandwich Bar";"Dining";"112.79";"0"
"2027-11-05";"************4382";"ActiveLife Physiotherapy";"Health";"214.97";"0"
"2027-11-04";"************4382";"Riverfront Music Hall";"Entertainment";"67.78";"0"
"2027-11-04";"************4382";"Auckland Waste Service";"Utilities";"89.08";"0"
"2027-11-04";"************4382";"Auckland Airport Shuttle";"Travel";"216.03";"0"
"2027-11-03";"************4382";"NorthLine Bus Card";"Transport";"46.32";"0"
"2027-11-03";"************4382";"Civic Library Membership";"Education";"225.73";"0"
"2027-11-02";"************4382";"Wellington Parking Pay";"Transport";"40.61";"0"
"2027-11-02";"************4382";"OfficeCart Supplies";"Business";"432.37";"0"
"2027-11-02";"************4382";"HomeCare Upkeep";"Housing";"314.73";"0"
"2027-11-01";"************4382";"Rent Payment Willow Street";"Housing";"1440.51";"0"
"2027-11-01";"************4382";"Harbor Noodle House";"Dining";"42.24";"0"
"2027-10-30";"************4382";"MeetingRoom Booking";"Business";"408.41";"0"
"2027-10-29";"************4382";"Service Adjustment Credit";"Refunds";"0";"91.71"
"2027-10-29";"************4382";"BrightWater Services";"Utilities";"229.97";"0"
"2027-10-28";"************4382";"Online Payment Received";"Payments";"0";"1067.35"
"2027-10-28";"************4382";"OfficeCart Supplies";"Business";"319.95";"0"
"2027-10-28";"************4382";"Kiwi Basket Foods";"Groceries";"127.24";"0"
"2027-10-28";"************4382";"Auckland Theatre Tickets";"Entertainment";"129.53";"0"
"2027-10-27";"************4382";"Queenstown Burger Loft";"Dining";"9.75";"0"
"2027-10-27";"************4382";"Harbor Noodle House";"Dining";"92.83";"0"
"2027-10-25";"************4382";"Store Return Credit";"Refunds";"0";"319.08"
"2027-10-25";"************4382";"Maple Table Bistro";"Dining";"109.13";"0"
"2027-10-25";"************4382";"Brooklyn Sandwich Bar";"Dining";"121.01";"0"
"2027-10-23";"************4382";"Merchant Refund";"Refunds";"0";"13.03"
"2027-10-23";"************4382";"Harbor Dental Clinic";"Health";"245.72";"0"
"2027-10-22";"************4382";"OfficeCart Supplies";"Business";"407.38";"0"
"2027-10-21";"************4382";"Sunset Pizza Works";"Dining";"122.07";"0"
"2027-10-20";"************4382";"StudyHub Materials";"Education";"287.80";"0"
"2027-10-20";"************4382";"Streaming Box Monthly";"Entertainment";"142.89";"0"
"2027-10-19";"************4382";"Wellington Ferry Terminal";"Travel";"161.96";"0"
"2027-10-19";"************4382";"Sunset Pizza Works";"Dining";"62.34";"0"
"2027-10-19";"************4382";"Payroll Card Payment";"Payments";"0";"398.25"
"2027-10-19";"************4382";"MeetingRoom Booking";"Business";"389.25";"0"
"2027-10-19";"************4382";"GameCorner Store";"Entertainment";"159.81";"0"
"2027-10-18";"************4382";"Service Adjustment Credit";"Refunds";"0";"176.61"
"2027-10-18";"************4382";"Maple Table Bistro";"Dining";"34.75";"0"
"2027-10-18";"************4382";"DesignMarket License";"Business";"293.11";"0"
"2027-10-17";"************4382";"Harbor Internet Co";"Utilities";"21.13";"0"
"2027-10-14";"************4382";"GreenLeaf Supplements";"Health";"271.01";"0"
"2027-10-14";"************4382";"CodeGarden Classes";"Education";"401.63";"0"
"2027-10-13";"************4382";"RoadStar Fuel Stop";"Transport";"84.18";"0"
"2027-10-13";"************4382";"RoadStar Fuel Stop";"Transport";"38.46";"0"
"2027-10-13";"************4382";"NorthLine Bus Card";"Transport";"15.26";"0"
"2027-10-13";"************4382";"Museum Annual Pass";"Entertainment";"136.77";"0"
"2027-10-13";"************4382";"MetroLink Transit";"Transport";"23.34";"0"
"2027-10-12";"************4382";"SouthGrid Electric";"Utilities";"259.88";"0"
"2027-10-11";"************4382";"North Shore Supermart";"Groceries";"20.34";"0"
"2027-10-11";"************4382";"Card Service Fee";"Fees";"5.74";"0"
"2027-10-11";"************4382";"ActiveLife Physiotherapy";"Health";"297.07";"0"
"2027-10-10";"************4382";"Canterbury Family Foods";"Groceries";"158.35";"0"
"2027-10-09";"************4382";"SecureNest Insurance";"Housing";"296.55";"0"
"2027-10-09";"************4382";"PostalPro Shipping";"Business";"433.31";"0"
"2027-10-09";"************4382";"MetroLink Transit";"Transport";"61.56";"0"
"2027-10-09";"************4382";"Auckland Fresh Market";"Groceries";"110.74";"0"
"2027-10-08";"************4382";"RoadStar Fuel Stop";"Transport";"46.61";"0"
"2027-10-08";"************4382";"Maple Table Bistro";"Dining";"127.66";"0"
"2027-10-07";"************4382";"Canterbury Family Foods";"Groceries";"36.28";"0"
"2027-10-06";"************4382";"ActiveLife Physiotherapy";"Health";"235.23";"0"
"2027-10-05";"************4382";"StudyHub Materials";"Education";"160.77";"0"
"2027-10-04";"************4382";"Brooklyn Sandwich Bar";"Dining";"134.09";"0"
"2027-10-03";"************4382";"Sunset Pizza Works";"Dining";"88.32";"0"
"2027-10-03";"************4382";"PostalPro Shipping";"Business";"510.88";"0"
"2027-10-03";"************4382";"Harbor Ferry Ticket";"Transport";"14.79";"0"
"2027-10-03";"************4382";"Harbor Dental Clinic";"Health";"307.91";"0"
"2027-10-03";"************4382";"Auckland Airport Shuttle";"Travel";"217.12";"0"
"2027-10-03";"************4382";"Aotearoa Lodge Booking";"Travel";"142.84";"0"
"2027-10-02";"************4382";"CloudDesk Storage";"Business";"142.14";"0"
"2027-10-01";"************4382";"Riverfront Music Hall";"Entertainment";"18.60";"0"
"2027-10-01";"************4382";"Online Payment Received";"Payments";"0";"1638.48"
"2027-10-01";"************4382";"Milford Sound Tours";"Travel";"56.68";"0"
"2027-10-01";"************4382";"Harbor Noodle House";"Dining";"119.48";"0"
"2027-09-30";"************4382";"StorageBox Monthly";"Housing";"2276.58";"0"
"2027-09-30";"************4382";"Harbor Ferry Ticket";"Transport";"38.08";"0"
"2027-09-29";"************4382";"PostalPro Shipping";"Business";"11.47";"0"
"2027-09-29";"************4382";"Postbox Rental";"Housing";"1333.69";"0"
"2027-09-29";"************4382";"DataCraft Workshop";"Education";"416.89";"0"
"2027-09-29";"************4382";"CloudDesk Storage";"Business";"486.94";"0"
"2027-09-28";"************4382";"Bank Transfer Payment";"Payments";"0";"340.73"
"2027-09-27";"************4382";"SouthGrid Electric";"Utilities";"187.19";"0"
"2027-09-27";"************4382";"RoadStar Fuel Stop";"Transport";"68.87";"0"
"2027-09-27";"************4382";"PostalPro Shipping";"Business";"109.53";"0"
"2027-09-26";"************4382";"StudyHub Materials";"Education";"245.61";"0"
"2027-09-26";"************4382";"Queenstown Burger Loft";"Dining";"13.01";"0"
"2027-09-25";"************4382";"NorthLine Bus Card";"Transport";"58.04";"0"
"2027-09-25";"************4382";"Maple Table Bistro";"Dining";"22.43";"0"
"2027-09-24";"************4382";"Rotorua Organic Store";"Groceries";"60.28";"0"
"2027-09-23";"************4382";"Invoice Client Deposit";"Business";"399.93";"0"
"2027-09-22";"************4382";"Wellington Coffee Room";"Dining";"44.45";"0"
"2027-09-22";"************4382";"Nelson Curry Kitchen";"Dining";"41.62";"0"
"2027-09-22";"************4382";"MetroLink Transit";"Transport";"64.39";"0"
"2027-09-21";"************4382";"Wellington Parking Pay";"Transport";"58.63";"0"
"2027-09-21";"************4382";"Streaming Box Monthly";"Entertainment";"43.16";"0"
"2027-09-21";"************4382";"BookNest Learning";"Education";"401.81";"0"
"2027-09-21";"************4382";"Aotearoa Lodge Booking";"Travel";"837.05";"0"
"2027-09-20";"************4382";"Museum Annual Pass";"Entertainment";"167.05";"0"
"2027-09-19";"************4382";"NorthLine Bus Card";"Transport";"22.28";"0"
"2027-09-19";"************4382";"ClearNet Fibre";"Utilities";"173.42";"0"
"2027-09-18";"************4382";"Wellington Pantry Co";"Groceries";"20.23";"0"
"2027-09-18";"************4382";"OfficeCart Supplies";"Business";"511.40";"0"
"2027-09-17";"************4382";"Travel Booking Refund";"Refunds";"0";"179.71"
"2027-09-17";"************4382";"Tasman Daily Market";"Groceries";"130.83";"0"
"2027-09-17";"************4382";"Riverfront Music Hall";"Entertainment";"72.35";"0"
"2027-09-17";"************4382";"GameCorner Store";"Entertainment";"130.94";"0"
"2027-09-17";"************4382";"Coastal Spoon Cafe";"Dining";"73.80";"0"
"2027-09-15";"************4382";"Replacement Card Fee";"Fees";"78.39";"0"
"2027-09-15";"************4382";"Maple Table Bistro";"Dining";"64.77";"0"
"2027-09-14";"************4382";"Streaming Box Monthly";"Entertainment";"42.46";"0"
"2027-09-14";"************4382";"Rent Payment Willow Street";"Housing";"1076.06";"0"
"2027-09-14";"************4382";"GreenRide Shuttle";"Transport";"25.17";"0"
"2027-09-14";"************4382";"Civic Cinema";"Entertainment";"188.79";"0"
"2027-09-13";"************4382";"Wellington Pantry Co";"Groceries";"179.03";"0"
"2027-09-12";"************4382";"North Shore Supermart";"Groceries";"84.16";"0"
"2027-09-11";"************4382";"Harbor Ferry Ticket";"Transport";"83.85";"0"
"2027-09-11";"************4382";"Credit Card Payment Thank You";"Payments";"0";"911.20"
"2027-09-11";"************4382";"Canterbury Family Foods";"Groceries";"119.77";"0"
"2027-09-10";"************4382";"Kiwi Basket Foods";"Groceries";"192.69";"0"
"2027-09-10";"************4382";"Invoice Client Deposit";"Business";"147.73";"0"
"2027-09-10";"************4382";"CodeGarden Classes";"Education";"201.70";"0"
"2027-09-09";"************4382";"Queenstown Burger Loft";"Dining";"55.81";"0"
"2027-09-09";"************4382";"New Zealand Scenic Coach";"Travel";"558.29";"0"
"2027-09-09";"************4382";"MetroLink Transit";"Transport";"7.26";"0"
"2027-09-08";"************4382";"Nelson Curry Kitchen";"Dining";"43.85";"0"
"2027-09-08";"************4382";"Harbor Ferry Ticket";"Transport";"81.93";"0"
"2027-09-08";"************4382";"CodeGarden Classes";"Education";"419.26";"0"
"2027-09-07";"************4382";"Wellington Pantry Co";"Groceries";"182.46";"0"
"2027-09-07";"************4382";"OfficeCart Supplies";"Business";"148.64";"0"
"2027-09-07";"************4382";"Maple Table Bistro";"Dining";"116.45";"0"
"2027-09-07";"************4382";"GreenRide Shuttle";"Transport";"66.82";"0"
"2027-09-07";"************4382";"Cash Advance Fee";"Fees";"19.98";"0"
"2027-09-06";"************4382";"Online Payment Received";"Payments";"0";"292.86"
"2027-09-06";"************4382";"NorthLine Bus Card";"Transport";"48.69";"0"
"2027-09-06";"************4382";"NorthLine Bus Card";"Transport";"47.08";"0"
"2027-09-06";"************4382";"Cash Advance Fee";"Fees";"55.65";"0"
"2027-09-05";"************4382";"Wellington Pantry Co";"Groceries";"41.35";"0"
"2027-09-05";"************4382";"Rent Payment Willow Street";"Housing";"94.05";"0"
"2027-09-05";"************4382";"Brooklyn Sandwich Bar";"Dining";"127.96";"0"
"2027-09-04";"************4382";"CloudDesk Storage";"Business";"370.31";"0"
"2027-09-04";"************4382";"Aotearoa Lodge Booking";"Travel";"708.13";"0"
"2027-09-03";"************4382";"Travel Booking Refund";"Refunds";"0";"98.72"
"2027-09-02";"************4382";"North Shore Supermart";"Groceries";"19.92";"0"
"2027-09-02";"************4382";"Brooklyn Sandwich Bar";"Dining";"109.48";"0"
"2027-09-01";"************4382";"Auckland Theatre Tickets";"Entertainment";"187.54";"0"
"2027-08-31";"************4382";"OfficeCart Supplies";"Business";"57.04";"0"
"2027-08-31";"************4382";"Kiwi Basket Foods";"Groceries";"150.07";"0"
"2027-08-30";"************4382";"North Shore Supermart";"Groceries";"136.75";"0"
"2027-08-30";"************4382";"Kiwi Basket Foods";"Groceries";"43.34";"0"
"2027-08-30";"************4382";"Auckland Waste Service";"Utilities";"106.26";"0"
"2027-08-30";"************4382";"Auckland Theatre Tickets";"Entertainment";"42.21";"0"
"2027-08-29";"************4382";"Harbor Green Grocers";"Groceries";"165.71";"0"
"2027-08-28";"************4382";"Travel Booking Refund";"Refunds";"0";"377.07"
"2027-08-28";"************4382";"OfficeCart Supplies";"Business";"115.99";"0"
"2027-08-28";"************4382";"GameCorner Store";"Entertainment";"168.99";"0"
"2027-08-28";"************4382";"BlueSky Mobile";"Utilities";"20.71";"0"
"2027-08-27";"************4382";"Wellness Pharmacy";"Health";"113.33";"0"
"2027-08-27";"************4382";"NorthLine Bus Card";"Transport";"20.53";"0"
"2027-08-26";"************4382";"GreenRide Shuttle";"Transport";"66.27";"0"
"2027-08-25";"************4382";"GreenLeaf Supplements";"Health";"228.51";"0"
"2027-08-25";"************4382";"DomainHouse Renewal";"Business";"56.42";"0"
"2027-08-24";"************4382";"PostalPro Shipping";"Business";"329.22";"0"
"2027-08-24";"************4382";"Foreign Exchange Fee";"Fees";"15.33";"0"
"2027-08-24";"************4382";"City Medical Center";"Health";"15.37";"0"
"2027-08-23";"************4382";"Canterbury Family Foods";"Groceries";"156.34";"0"
"2027-08-22";"************4382";"Wellington Pantry Co";"Groceries";"73.11";"0"
"2027-08-21";"************4382";"GreenRide Shuttle";"Transport";"85.55";"0"
"2027-08-21";"************4382";"GreenLeaf Supplements";"Health";"65.95";"0"
"2027-08-21";"************4382";"DomainHouse Renewal";"Business";"126.28";"0"
"2027-08-21";"************4382";"Canterbury Family Foods";"Groceries";"122.25";"0"
"2027-08-21";"************4382";"Auckland Metro Pass";"Transport";"58.21";"0"
"2027-08-20";"************4382";"MetroLink Transit";"Transport";"81.34";"0"
"2027-08-20";"************4382";"Interest Charge";"Fees";"55.61";"0"
"2027-08-20";"************4382";"Harbor Noodle House";"Dining";"6.52";"0"
"2027-08-20";"************4382";"Harbor Noodle House";"Dining";"23.53";"0"
"2027-08-19";"************4382";"Wellington Parking Pay";"Transport";"47.23";"0"
"2027-08-19";"************4382";"Tasman Daily Market";"Groceries";"159.39";"0"
"2027-08-19";"************4382";"StudyHub Materials";"Education";"274.76";"0"
"2027-08-19";"************4382";"SkillBridge Academy";"Education";"98.95";"0"
"2027-08-19";"************4382";"Auckland Waste Service";"Utilities";"147.29";"0"
"2027-08-18";"************4382";"OfficeCart Supplies";"Business";"54.28";"0"
"2027-08-18";"************4382";"OfficeCart Supplies";"Business";"247.61";"0"
"2027-08-18";"************4382";"DataCraft Workshop";"Education";"77.02";"0"
"2027-08-17";"************4382";"ClearNet Fibre";"Utilities";"190.90";"0"
"2027-08-16";"************4382";"Tasman Daily Market";"Groceries";"68.58";"0"
"2027-08-16";"************4382";"Late Payment Fee";"Fees";"42.94";"0"
"2027-08-15";"************4382";"Bank Transfer Payment";"Payments";"0";"573.72"
"2027-08-14";"************4382";"ClearNet Fibre";"Utilities";"72.19";"0"
"2027-08-13";"************4382";"Rotorua Organic Store";"Groceries";"15.02";"0"
"2027-08-13";"************4382";"Kiwi Basket Foods";"Groceries";"142.49";"0"
"2027-08-13";"************4382";"Harbor Internet Co";"Utilities";"270.47";"0"
"2027-08-13";"************4382";"GardenCare Subscription";"Housing";"648.57";"0"
"2027-08-12";"************4382";"Auckland Waste Service";"Utilities";"92.07";"0"
"2027-08-10";"************4382";"VisionCare Optics";"Health";"84.78";"0"
"2027-08-10";"************4382";"Harbor Dental Clinic";"Health";"230.80";"0"
"2027-08-10";"************4382";"BookNest Learning";"Education";"118.72";"0"
"2027-08-09";"************4382";"Replacement Card Fee";"Fees";"114.55";"0"
"2027-08-09";"************4382";"Coastal Spoon Cafe";"Dining";"23.09";"0"
"2027-08-09";"************4382";"Auckland Metro Pass";"Transport";"67.58";"0"
"2027-08-08";"************4382";"CloudDesk Storage";"Business";"431.21";"0"
"2027-08-08";"************4382";"Auckland Theatre Tickets";"Entertainment";"121.06";"0"
"2027-08-07";"************4382";"Wellington Pantry Co";"Groceries";"166.37";"0"
"2027-08-07";"************4382";"Streaming Box Monthly";"Entertainment";"182.33";"0"
"2027-08-07";"************4382";"Riverfront Music Hall";"Entertainment";"129.72";"0"
"2027-08-07";"************4382";"Online Payment Received";"Payments";"0";"1238.62"
"2027-08-07";"************4382";"MetroLink Transit";"Transport";"83.46";"0"
"2027-08-06";"************4382";"Online Payment Received";"Payments";"0";"1715.02"
"2027-08-05";"************4382";"Rotorua Organic Store";"Groceries";"162.75";"0"
"2027-08-05";"************4382";"CloudDesk Storage";"Business";"177.25";"0"
"2027-08-04";"************4382";"RoadStar Fuel Stop";"Transport";"52.65";"0"
"2027-08-03";"************4382";"Invoice Client Deposit";"Business";"302.71";"0"
"2027-08-03";"************4382";"Auckland Theatre Tickets";"Entertainment";"75.24";"0"
"2027-08-02";"************4382";"Payroll Card Payment";"Payments";"0";"1309.43"
"2027-08-02";"************4382";"Harbor Green Grocers";"Groceries";"111.62";"0"
"2027-08-02";"************4382";"BrightWater Services";"Utilities";"25.72";"0"
"2027-08-02";"************4382";"Bank Transfer Payment";"Payments";"0";"2176.68"
"2027-08-01";"************4382";"Harbor Green Grocers";"Groceries";"33.06";"0"
"2027-07-30";"************4382";"Wellness Pharmacy";"Health";"350.56";"0"
"2027-07-30";"************4382";"RoadStar Fuel Stop";"Transport";"13.25";"0"
"2027-07-28";"************4382";"CarePlus Lab Services";"Health";"56.82";"0"
"2027-07-28";"************4382";"Building Manager Fee";"Housing";"42.16";"0"
"2027-07-28";"************4382";"Brooklyn Sandwich Bar";"Dining";"125.53";"0"
"2027-07-26";"************4382";"Sunset Pizza Works";"Dining";"30.00";"0"
"2027-07-26";"************4382";"Invoice Client Deposit";"Business";"116.93";"0"
"2027-07-26";"************4382";"Harbor Green Grocers";"Groceries";"174.03";"0"
"2027-07-25";"************4382";"PrintWorks Studio";"Business";"400.25";"0"
"2027-07-25";"************4382";"Merchant Refund";"Refunds";"0";"293.06"
"2027-07-25";"************4382";"DesignMarket License";"Business";"321.82";"0"
"2027-07-24";"************4382";"GameCorner Store";"Entertainment";"164.11";"0"
"2027-07-23";"************4382";"Wellington Parking Pay";"Transport";"17.72";"0"
"2027-07-23";"************4382";"Auckland Airport Shuttle";"Travel";"145.75";"0"
"2027-07-23";"************4382";"ActiveLife Physiotherapy";"Health";"165.57";"0"
"2027-07-22";"************4382";"NorthStar Online Course";"Education";"244.39";"0"
"2027-07-22";"************4382";"Canterbury Family Foods";"Groceries";"40.25";"0"
"2027-07-22";"************4382";"ActiveLife Physiotherapy";"Health";"13.07";"0"
"2027-07-21";"************4382";"Wellington Parking Pay";"Transport";"33.73";"0"
"2027-07-21";"************4382";"Payroll Card Payment";"Payments";"0";"906.93"
"2027-07-21";"************4382";"Kiwi Basket Foods";"Groceries";"136.66";"0"
"2027-07-21";"************4382";"Coastal Spoon Cafe";"Dining";"54.86";"0"
"2027-07-20";"************4382";"Queenstown Burger Loft";"Dining";"43.30";"0"
